--- Sequencial ---
10000 0.675547
20000 2.689044
30000 6.067990
40000 10.794453
50000 17.024250
60000 24.318298
70000 33.225492
80000 43.204502
90000 54.661875
100000 67.487661
--- 2 Threads ---
10000 0.384397
20000 1.528915
30000 3.435563
40000 6.104675
50000 9.535278
60000 13.735965
70000 18.698202
80000 24.441053
90000 30.809455
100000 37.998588
--- 4 Threads ---
10000 0.190353
20000 0.758784
30000 1.706698
40000 3.035264
50000 4.747057
60000 6.837190
70000 9.306877
80000 12.147611
90000 15.372099
100000 18.997494
--- 8 Threads ---
10000 0.101036
20000 0.401410
30000 0.901987
40000 1.601984
50000 2.502327
60000 3.602055
70000 4.903515
80000 6.404990
90000 8.105841
100000 10.006551
--- 16 Threads ---
10000 0.097965
20000 0.371869
30000 0.836980
40000 1.487008
50000 2.324863
60000 3.349808
70000 4.557696
80000 5.956416
90000 7.551857
100000 9.325171
