--- Sequencial ---
10000 0.678729
20000 2.691646
30000 6.070233
40000 10.796088
50000 16.865261
60000 24.290215
70000 33.068857
80000 43.180967
90000 54.677534
100000 67.495531
--- 2 Threads ---
10000 0.385212
20000 1.525985
30000 3.435523
40000 6.100561
50000 9.534995
60000 13.762087
70000 18.712806
80000 24.449404
90000 30.823677
100000 38.005256
--- 4 Threads ---
10000 0.191819
20000 0.758527
30000 1.707299
40000 3.037240
50000 4.743237
60000 6.833973
70000 9.315804
80000 12.159248
90000 15.387490
100000 19.008454
--- 8 Threads ---
10000 0.101040
20000 0.401560
30000 0.901767
40000 1.602535
50000 2.502030
60000 3.601886
70000 4.902264
80000 6.402333
90000 8.102576
100000 10.004037
--- 16 Threads ---
10000 0.097944
20000 0.369127
30000 0.826660
40000 1.468864
50000 2.294920
60000 3.305936
70000 4.494564
80000 5.873383
90000 7.432020
100000 9.172101
