--- Sequencial ---
1000000 2.201294
2000000 4.337778
3000000 7.166213
4000000 8.603881
5000000 11.259936
6000000 14.297868
7000000 14.891764
8000000 17.181714
9000000 19.767124
10000000 22.487603
--- 2 Threads ---
1000000 1.146453
2000000 2.246974
3000000 3.653247
4000000 4.419856
5000000 5.750013
6000000 7.275469
7000000 7.621231
8000000 8.789288
9000000 10.151150
10000000 11.595942
--- 4 Threads ---
1000000 1.137563
2000000 2.280000
3000000 3.736729
4000000 4.427146
5000000 5.825059
6000000 7.356897
7000000 7.705384
8000000 8.929794
9000000 10.218906
10000000 11.598097
--- 8 Threads ---
1000000 1.144940
2000000 2.247624
3000000 3.655150
4000000 4.487304
5000000 5.765513
6000000 7.329978
7000000 7.618263
8000000 8.794711
9000000 10.218233
10000000 11.578955
--- 16 Threads ---
1000000 1.140132
2000000 2.253709
3000000 3.684701
4000000 4.429234
5000000 5.819762
6000000 7.380725
7000000 7.708313
8000000 8.867132
9000000 10.143864
10000000 11.601842
