--- Sequencial ---
10000 0.246956
20000 0.981610
30000 2.206662
40000 3.921120
50000 6.126186
60000 8.818746
70000 12.001356
80000 15.872098
90000 20.029056
100000 24.737170
--- 2 Nodos ---
10000 0.123067
20000 0.484239
30000 1.091537
40000 1.941820
50000 3.038824
60000 4.435392
70000 6.161837
80000 7.805255
90000 9.828915
100000 12.144974
--- 4 Nodos ---
10000 0.062605
20000 0.245982
30000 0.553082
40000 0.984326
50000 1.541201
60000 2.217241
70000 3.013457
80000 4.032008
90000 4.987245
100000 6.131588
--- 8 Nodos ---
10000 0.057410
20000 0.220168
30000 0.493593
40000 0.876775
50000 1.373502
60000 1.999338
70000 2.836190
80000 3.690641
90000 4.680396
100000 5.785131
--- 16 Nodos ---
10000 0.060466
20000 0.233371
30000 0.526860
40000 0.934759
50000 1.457351
60000 2.101002
70000 2.860443
80000 3.726633
90000 4.716411
100000 5.820391
