--- Sequencial ---
1000000 1.147547
2000000 2.246932
3000000 3.492926
4000000 4.444196
5000000 5.651865
6000000 6.985897
7000000 7.803132
8000000 8.879659
9000000 10.071510
10000000 11.284355
--- 2 Nodos ---
1000000 0.576076
2000000 1.144575
3000000 1.756489
4000000 2.246565
5000000 2.844633
6000000 3.527752
7000000 3.972590
8000000 4.583143
9000000 5.094182
10000000 5.711216
--- 4 Nodos ---
1000000 0.579436
2000000 1.159932
3000000 1.791046
4000000 2.251049
5000000 2.849779
6000000 3.514794
7000000 3.936367
8000000 4.504045
9000000 5.096879
10000000 5.710359
--- 8 Nodos ---
1000000 0.597418
2000000 1.153334
3000000 1.768157
4000000 2.264485
5000000 2.866713
6000000 3.546606
7000000 3.986346
8000000 4.481911
9000000 5.122701
10000000 5.726589
--- 16 Nodos ---
1000000 0.586525
2000000 1.159225
3000000 1.772491
4000000 2.250596
5000000 2.865515
6000000 3.500164
7000000 3.948699
8000000 4.456632
9000000 5.072694
10000000 5.658463
