--- Sequencial ---
10000 0.673898
20000 2.691404
30000 6.067211
40000 10.787421
50000 16.852811
60000 24.266170
70000 33.192067
80000 43.129979
90000 54.622941
100000 67.392684
--- 2 Threads ---
10000 0.389268
20000 1.532947
30000 3.436353
40000 6.126269
50000 9.559304
60000 13.774253
70000 18.692331
80000 24.417696
90000 30.921007
100000 38.221317
--- 4 Threads ---
10000 0.204815
20000 0.785417
30000 1.724956
40000 3.072867
50000 4.762478
60000 6.847406
70000 9.344454
80000 12.160339
90000 15.442280
100000 19.053428
--- 8 Threads ---
10000 0.150702
20000 0.437266
30000 0.918625
40000 1.654087
50000 2.519155
60000 3.638264
70000 4.948196
80000 6.412212
90000 8.148676
100000 10.039732
--- 16 Threads ---
10000 0.166110
20000 0.464448
30000 0.861214
40000 1.527013
50000 2.391273
60000 3.347685
70000 4.587262
80000 6.028860
90000 7.530223
100000 9.302870
