--- Sequencial ---
1000000 2.200219
2000000 4.337699
3000000 7.162993
4000000 8.602772
5000000 11.270382
6000000 14.295778
7000000 14.884044
8000000 17.189488
9000000 19.779853
10000000 22.477339
--- 2 Nodos ---
1000000 1.146426
2000000 2.244943
3000000 3.648884
4000000 4.418863
5000000 5.761755
6000000 7.292834
7000000 7.619442
8000000 8.788690
9000000 10.115821
10000000 11.489174
--- 4 Nodos ---
1000000 1.138832
2000000 2.272682
3000000 3.650810
4000000 4.488593
5000000 5.858777
6000000 7.368054
7000000 7.698301
8000000 8.877611
9000000 10.197104
10000000 11.541409
--- 8 Nodos ---
1000000 1.136522
2000000 2.253571
3000000 3.662355
4000000 4.455315
5000000 5.777600
6000000 7.356707
7000000 7.673889
8000000 8.841643
9000000 10.122116
10000000 11.469625
--- 16 Nodos ---
1000000 1.157003
2000000 2.300551
3000000 3.688563
4000000 4.468587
5000000 5.779194
6000000 7.348023
7000000 7.672075
8000000 8.834142
9000000 10.222780
10000000 11.546566
